,Time,League,Player_1,Player_2,Bet,Price,Winner,Scoreline,Returns,Unit_Stake
3338017,2021-03-15 22:15:00,TT Cup Ukraine,Andrey Guchok,Igor Demchuk,Andrey Guchok,3.25,Andrey Guchok,3-1,3.25,1
3338071,2021-03-15 21:45:00,Liga Pro,Igor Mihaylov,Vladimir Belyakov,Igor Mihaylov,3.0,Vladimir Belyakov,1-3,0.0,1
3338215,2021-03-16 01:55:00,Setka Cup,Andrii Shcherbak,Borys Kostiuk,Andrii Shcherbak,3.25,Andrii Shcherbak,3-0,3.25,1
3338216,2021-03-16 02:55:00,Setka Cup,Hryhorii Kulishov,Borys Kostiuk,Hryhorii Kulishov,4.0,Borys Kostiuk,1-3,0.0,1
3338390,2021-03-16 09:45:00,TT Star Series,David Prusa,Miroslav Horejsi,David Prusa,8.5,Miroslav Horejsi,1-3,0.0,1
3338392,2021-03-16 12:45:00,TT Star Series,David Prusa,Dmitrij Prokopcov,David Prusa,8.5,Dmitrij Prokopcov,0-3,0.0,1
3338397,2021-03-16 11:45:00,TT Star Series,Patrik Klos,Michal Blinka,Michal Blinka,2.375,Patrik Klos,3-2,0.0,1
3338499,2021-03-15 23:00:00,TT Cup Ukraine,Yaroslav Vorsuliak,Oleg Savenkov,Oleg Savenkov,4.0,Yaroslav Vorsuliak,3-0,0.0,1
3338501,2021-03-15 23:35:00,TT Cup Ukraine,Stepan Nykyforuk,Yevhenii Faflei,Yevhenii Faflei,2.75,Yevhenii Faflei,0-3,2.75,1
3338503,2021-03-16 01:20:00,TT Cup Ukraine,Vasyl Aksenin,Yevhenii Faflei,Yevhenii Faflei,3.4,Vasyl Aksenin,3-0,0.0,1
3338581,2021-03-16 04:15:00,TT Cup Ukraine,Yevhenii Faflei,Oleg Savenkov,Yevhenii Faflei,2.75,Yevhenii Faflei,3-0,2.75,1
3338662,2021-03-16 03:05:00,TT Cup Ukraine,Yaroslav Vorsuliak,Yevhenii Faflei,Yevhenii Faflei,4.333,Yaroslav Vorsuliak,3-1,0.0,1
3338705,2021-03-16 07:55:00,TT Cup Ukraine,Anton Shipilov,Sergey Gilitukha,Sergey Gilitukha,4.333,Anton Shipilov,3-0,0.0,1
3338786,2021-03-16 15:40:00,Setka Cup,Andrii Melchenko,Nazar Kasianyk,Nazar Kasianyk,2.75,Nazar Kasianyk,0-3,2.75,1
3338809,2021-03-16 16:40:00,Setka Cup,Yevhen Skorobahatyi,Andrii Melchenko,Andrii Melchenko,3.0,Andrii Melchenko,0-3,3.0,1
3338818,2021-03-16 18:00:00,Setka Cup,Viktor Dushak,Vadim Kazmirchuk,Viktor Dushak,2.75,Vadim Kazmirchuk,0-3,0.0,1
3338819,2021-03-16 20:00:00,Setka Cup,Vadim Kazmirchuk,Viktor Bereza,Viktor Bereza,3.25,Vadim Kazmirchuk,3-0,0.0,1
3338833,2021-03-16 18:30:00,Setka Cup,Sergii Skhabitskiy,Bohdan Havryliuk,Sergii Skhabitskiy,3.0,Sergii Skhabitskiy,3-2,3.0,1
3339022,2021-03-16 06:10:00,Setka Cup,Roman Zholubak,Anatolii Levshyn,Anatolii Levshyn,4.333,Roman Zholubak,3-1,0.0,1
3339024,2021-03-16 07:10:00,Setka Cup,Nikolay Kornienko,Anatolii Levshyn,Anatolii Levshyn,4.5,Nikolay Kornienko,3-2,0.0,1
3339725,2021-03-16 17:05:00,Setka Cup,Borys Kostiuk,Hryhorii Kulishov,Hryhorii Kulishov,3.25,Hryhorii Kulishov,0-3,3.25,1
3339726,2021-03-16 20:05:00,Setka Cup,Borys Kostiuk,Serhii Sokolov,Serhii Sokolov,3.75,Borys Kostiuk,3-1,0.0,1
3339747,2021-03-16 13:25:00,TT Cup Ukraine,Oleksandr Kovalov,Anatolii Yakovenko,Anatolii Yakovenko,2.75,Anatolii Yakovenko,2-3,2.75,1
3339999,2021-03-16 21:30:00,Czech Liga Pro,Petr Bradach,Martin Bittner,Martin Bittner,2.75,Martin Bittner,0-3,2.75,1
3340050,2021-03-16 17:25:00,Setka Cup,Yevhen Kyi,Oleksandr Mishchenko,Yevhen Kyi,3.5,Yevhen Kyi,3-1,3.5,1
3340183,2021-03-16 17:45:00,Liga Pro,Dmitry Petrochenko,Sergey Nikulin,Dmitry Petrochenko,3.0,Sergey Nikulin,2-3,0.0,1
3340791,2021-03-17 00:25:00,Setka Cup,Vladimir Chornobab,Roman Malynka,Roman Malynka,3.4,Vladimir Chornobab,3-2,0.0,1
3341286,2021-03-17 05:00:00,Liga Pro,Pavel Vshivkov,Sergey Ovechkin,Pavel Vshivkov,3.75,Sergey Ovechkin,0-3,0.0,1
3341287,2021-03-17 04:30:00,Liga Pro,Gennady Karpovkin,Andrey Zabrodin,Gennady Karpovkin,3.75,Andrey Zabrodin,0-3,0.0,1
3341354,2021-03-17 10:30:00,Liga Pro,Kirill Malahov,Aleksey Zirin,Aleksey Zirin,6.5,Aleksey Zirin,2-3,6.5,1
3341464,2021-03-16 21:35:00,TT Cup Ukraine,Ivan Fashchevskyi,Samvel Melkumian,Samvel Melkumian,3.5,Ivan Fashchevskyi,3-0,0.0,1
3341600,2021-03-17 06:30:00,Setka Cup,Vladislav Ratushnyak,Mykhailo Zholubak,Mykhailo Zholubak,4.333,Vladislav Ratushnyak,3-2,0.0,1
3341617,2021-03-17 13:00:00,Setka Cup,Ivan Omelchuk,Mykhailo Zholubak,Mykhailo Zholubak,4.333,Ivan Omelchuk,3-2,0.0,1
3341664,2021-03-16 20:25:00,TT Cup Ukraine,Denys Shcherbak,Serhii Ponomarenko,Serhii Ponomarenko,3.0,Serhii Ponomarenko,1-3,3.0,1
3341671,2021-03-17 08:40:00,TT Cup Ukraine,Serhii Baranovskyi,Aleksey Krutko,Serhii Baranovskyi,3.0,Aleksey Krutko,0-3,0.0,1
3341747,2021-03-17 12:15:00,Setka Cup,Oleh Yurenev,Oleg Pereguda,Oleh Yurenev,2.75,Oleg Pereguda,0-3,0.0,1
3341750,2021-03-17 12:45:00,Setka Cup,Stefan Yakimenko,Sergey Yatsenko,Sergey Yatsenko,4.333,Stefan Yakimenko,3-0,0.0,1
3341775,2021-03-17 13:35:00,Setka Cup,Serhii Kuprykov,Dmitriy Pereyaslovskyi,Dmitriy Pereyaslovskyi,3.5,Dmitriy Pereyaslovskyi,2-3,3.5,1
3341814,2021-03-17 18:05:00,Setka Cup,Serhii Kuprykov,Roman Yushko,Serhii Kuprykov,3.25,Roman Yushko,2-3,0.0,1
3341866,2021-03-17 18:10:00,Setka Cup,Oleksandr Kolbasenko,Andrii Skliarenko,Oleksandr Kolbasenko,3.4,Oleksandr Kolbasenko,3-1,3.4,1
3341868,2021-03-17 19:10:00,Setka Cup,Oleksandr Paniotov,Artem Yurkov,Oleksandr Paniotov,4.0,Oleksandr Paniotov,3-1,4.0,1
3341930,2021-03-17 14:25:00,Setka Cup,Serhii Chelpanov,Roman Makarenko,Serhii Chelpanov,3.5,Serhii Chelpanov,3-0,3.5,1
3341970,2021-03-17 21:25:00,Setka Cup,Serhii Bondarenko,Yuriy Kolesnik,Serhii Bondarenko,3.5,Yuriy Kolesnik,1-3,0.0,1
3342012,2021-03-17 19:15:00,Setka Cup,Viktor Antonenko,Andrii Podolian,Viktor Antonenko,3.75,Andrii Podolian,0-3,0.0,1
3342379,2021-03-17 22:00:00,Liga Pro,Andrey Pravednov,Timofey Shatilov,Andrey Pravednov,2.625,Andrey Pravednov,3-0,2.625,1
3342383,2021-03-18 01:00:00,Liga Pro,Aleksey Uezdin,Andrey Pravednov,Aleksey Uezdin,3.0,Andrey Pravednov,1-3,0.0,1
3342706,2021-03-17 23:25:00,Setka Cup,Vladimir Chornobab,Roman Malynka,Roman Malynka,3.5,Vladimir Chornobab,3-0,0.0,1
3342772,2021-03-17 10:40:00,Setka Cup,Valeriy Kolesnykov,Bohdan Havryliuk,Valeriy Kolesnykov,3.25,Bohdan Havryliuk,1-3,0.0,1
3343571,2021-03-17 14:10:00,TT Cup Ukraine,Uriy Sandulenko,Dmytro Halai,Dmytro Halai,3.0,Dmytro Halai,2-3,3.0,1
3343582,2021-03-17 17:40:00,TT Cup Ukraine,Andrii Herasymenko,Dmytro Halai,Dmytro Halai,2.25,Dmytro Halai,2-3,2.25,1
3343615,2021-03-17 16:45:00,Liga Pro,Vladimir Marshalov,Ivan Moshkov,Vladimir Marshalov,2.625,Ivan Moshkov,0-3,0.0,1
3343620,2021-03-17 19:15:00,Liga Pro,Ivan Moshkov,Dmitry Petrochenko,Dmitry Petrochenko,3.5,Ivan Moshkov,3-2,0.0,1
3343621,2021-03-17 17:00:00,Liga Pro,Igor Zemit,Vjacheslav Chernov,Vjacheslav Chernov,4.333,Vjacheslav Chernov,0-3,4.333,1
3343622,2021-03-17 17:30:00,Liga Pro,Andrey Sadkov,Igor Zemit,Andrey Sadkov,3.0,Igor Zemit,1-3,0.0,1
3343666,2021-03-17 17:45:00,TT Cup Ukraine,Andrey Troyan,Oleksandr Leonenko,Andrey Troyan,2.375,Oleksandr Leonenko,0-3,0.0,1
3343667,2021-03-17 18:20:00,TT Cup Ukraine,Yehor Miniailo,Andrey Troyan,Andrey Troyan,2.5,Yehor Miniailo,3-1,0.0,1
3343782,2021-03-17 21:15:00,Liga Pro,Vasily Shirshov,Oleg Kutuzov,Vasily Shirshov,4.5,Vasily Shirshov,3-1,4.5,1
3344516,2021-03-18 18:20:00,Setka Cup,Volodymyr Korobko,Stanislav Nikolenko,Volodymyr Korobko,2.625,Volodymyr Korobko,3-2,2.625,1
3344711,2021-03-18 14:35:00,Setka Cup,Borys Kostiuk,Hryhorii Kulishov,Hryhorii Kulishov,2.5,Hryhorii Kulishov,1-3,2.5,1
3344806,2021-03-18 16:50:00,Setka Cup,Vadym Bochkovsky,Nikolay Kornienko,Nikolay Kornienko,3.4,Vadym Bochkovsky,3-1,0.0,1
3344840,2021-03-18 05:30:00,Liga Pro,Andrey Andreev,Vladimir Vologzhanin,Vladimir Vologzhanin,3.25,Vladimir Vologzhanin,0-3,3.25,1
3344844,2021-03-18 08:55:00,Setka Cup,Eduard Sotnikov,Volodymyr Butko,Volodymyr Butko,2.1,Eduard Sotnikov,3-0,0.0,1
3344888,2021-03-18 13:45:00,Setka Cup Women,Lilia Andreeva,Nadiia Kovtun,Nadiia Kovtun,3.75,Lilia Andreeva,3-1,0.0,1
3344938,2021-03-18 10:45:00,Liga Pro,Oleg Suharkov,Nikita Kurilchik,Nikita Kurilchik,3.25,Oleg Suharkov,3-1,0.0,1
3345119,2021-03-18 14:10:00,Setka Cup,Dmytro Prokopenko,Maksym Mrykh,Dmytro Prokopenko,4.333,Dmytro Prokopenko,3-0,4.333,1
3345164,2021-03-18 09:55:00,TT Cup Ukraine,Dmytro Yaremchuk,Roman Derypaska,Roman Derypaska,3.5,Dmytro Yaremchuk,3-1,0.0,1
3345168,2021-03-18 13:25:00,TT Cup Ukraine,Dmytro Yaremchuk,Nazar Kovalchuk,Nazar Kovalchuk,3.75,Dmytro Yaremchuk,3-1,0.0,1
3345175,2021-03-18 11:05:00,TT Cup Ukraine,Nikita Trofimov,Dmytro Yaremchuk,Nikita Trofimov,3.0,Dmytro Yaremchuk,0-3,0.0,1
3345188,2021-03-18 11:10:00,TT Cup Ukraine,Andrii Selin,Oleksandr Semenets,Andrii Selin,3.5,Oleksandr Semenets,1-3,0.0,1
3345412,2021-03-18 10:15:00,TT Cup Ukraine,Viktor Bosak,Andrey Guchok,Andrey Guchok,4.5,Viktor Bosak,3-0,0.0,1
3345518,2021-03-18 09:15:00,TT Cup Ukraine,Serhii Baranovskyi,Aleksey Krutko,Serhii Baranovskyi,2.75,Aleksey Krutko,1-3,0.0,1
3345757,2021-03-18 22:30:00,Liga Pro,Aleksey Uezdin,Dmitry Ignatiev,Aleksey Uezdin,4.5,Dmitry Ignatiev,1-3,0.0,1
3345758,2021-03-18 22:45:00,Liga Pro,Vasily Shirshov,Evgeniy Ilyukhin,Vasily Shirshov,4.333,Evgeniy Ilyukhin,0-3,0.0,1
3345760,2021-03-19 00:15:00,Liga Pro,Denis Molodtsov,Vasily Shirshov,Vasily Shirshov,3.5,Denis Molodtsov,3-0,0.0,1
3345890,2021-03-18 09:40:00,Setka Cup,Mykola Ulianchych,Dmytro Lazuryk,Mykola Ulianchych,2.75,Dmytro Lazuryk,2-3,0.0,1
3345895,2021-03-18 12:40:00,Setka Cup,Mykola Ulianchych,Artem Yurkov,Mykola Ulianchych,2.5,Mykola Ulianchych,3-0,2.5,1
3346103,2021-03-18 15:55:00,Setka Cup,Andrii Dombrovskyi,Roman Makarenko,Roman Makarenko,5.0,Andrii Dombrovskyi,3-0,0.0,1
3346121,2021-03-18 16:00:00,Setka Cup,Oleg Pereguda,Marat Yakubov,Marat Yakubov,5.0,Marat Yakubov,1-3,5.0,1
3346123,2021-03-18 19:30:00,Setka Cup,Vadym Kucheriavyi,Oleg Pereguda,Vadym Kucheriavyi,3.75,Vadym Kucheriavyi,3-2,3.75,1
3346744,2021-03-18 15:15:00,Setka Cup Women,Lilia Andreeva,Viktoriia Anarmetova,Viktoriia Anarmetova,2.625,Lilia Andreeva,3-1,0.0,1
3347133,2021-03-18 18:30:00,TT Cup Ukraine,Igor Piskorskyy,Illya Semeniuk,Illya Semeniuk,2.375,Illya Semeniuk,0-3,2.375,1
3347368,2021-03-18 20:45:00,Liga Pro,Dmitry Evlakhin,Konstantin Churin,Konstantin Churin,2.0,Konstantin Churin,2-3,2.0,1
3347370,2021-03-18 23:30:00,Liga Pro,Dmitry Ignatiev,Zhargal Tsybikov,Dmitry Ignatiev,2.75,Zhargal Tsybikov,1-3,0.0,1
3347539,2021-03-19 01:35:00,Setka Cup,Serhii Kuprykov,Dmitriy Pereyaslovskyi,Dmitriy Pereyaslovskyi,3.0,Serhii Kuprykov,3-0,0.0,1
3347735,2021-03-19 06:05:00,Setka Cup,Evgeniy Khurtak,Andrii Sydorenko,Andrii Sydorenko,3.4,Evgeniy Khurtak,3-0,0.0,1
3347805,2021-03-19 14:20:00,Setka Cup,Serhii Rak,Yevhen Trunov,Serhii Rak,5.0,Serhii Rak,3-2,5.0,1
3347867,2021-03-19 09:45:00,Liga Pro,Dmitry Balakin,Igor Mihaylov,Igor Mihaylov,3.4,Dmitry Balakin,3-1,0.0,1
3347870,2021-03-19 10:45:00,Liga Pro,Vladimir Belyakov,Igor Mihaylov,Igor Mihaylov,3.5,Vladimir Belyakov,3-1,0.0,1
3347878,2021-03-19 05:15:00,Liga Pro,Oleg Nikiforov,Igor Poletaev,Oleg Nikiforov,2.25,Igor Poletaev,2-3,0.0,1
3347881,2021-03-19 07:15:00,Liga Pro,Artem Arutiunyan,Igor Poletaev,Artem Arutiunyan,3.75,Igor Poletaev,1-3,0.0,1
3347899,2021-03-19 11:15:00,Liga Pro,Evgeny Grishaev,Alexey Slashchilin,Evgeny Grishaev,6.5,Alexey Slashchilin,0-3,0.0,1
3347960,2021-03-19 13:30:00,Setka Cup Women,Alina Bohdanova,Oleksandra Tsiupko,Alina Bohdanova,2.25,Alina Bohdanova,3-0,2.25,1
3347975,2021-03-19 09:50:00,TT Cup Ukraine,Evgeniy Krivorotko,Levko Kuzyo,Levko Kuzyo,3.75,Evgeniy Krivorotko,3-1,0.0,1
3347977,2021-03-19 14:05:00,Setka Cup,Andrii Peretiatko,Yevhenii Sokoltsov,Yevhenii Sokoltsov,2.5,Yevhenii Sokoltsov,1-3,2.5,1
3347981,2021-03-19 16:05:00,Setka Cup,Andrii Peretiatko,Roman Kuvaiev,Roman Kuvaiev,5.0,Andrii Peretiatko,3-0,0.0,1
3347983,2021-03-19 17:05:00,Setka Cup,Roman Kuvaiev,Yevhenii Sokoltsov,Yevhenii Sokoltsov,2.2,Roman Kuvaiev,3-2,0.0,1
3347985,2021-03-19 18:05:00,Setka Cup,Yevhen Bielokon,Roman Kuvaiev,Yevhen Bielokon,2.375,Yevhen Bielokon,3-1,2.375,1
3347987,2021-03-19 19:05:00,Setka Cup,Yevhenii Sokoltsov,Evgeny Ivanov,Yevhenii Sokoltsov,2.5,Yevhenii Sokoltsov,3-1,2.5,1
3347988,2021-03-19 19:35:00,Setka Cup,Yevhen Bielokon,Andrii Peretiatko,Yevhen Bielokon,3.5,Yevhen Bielokon,3-0,3.5,1
3347993,2021-03-19 17:00:00,Setka Cup Women,Olena Nalisnykovska,Svitlana Yureneva,Svitlana Yureneva,8.0,Olena Nalisnykovska,3-1,0.0,1
3348105,2021-03-19 07:50:00,Setka Cup,Kostiantyn Klymenko,Vitalii Mukhin,Vitalii Mukhin,2.75,Kostiantyn Klymenko,3-0,0.0,1
3348159,2021-03-19 17:50:00,Setka Cup,Anatolii Nazarov,Oleksandr Alieksieev,Anatolii Nazarov,2.2,Anatolii Nazarov,3-0,2.2,1
3348308,2021-03-19 11:30:00,Setka Cup,Vladislav Ratushnyak,Mykhailo Zholubak,Mykhailo Zholubak,3.75,Vladislav Ratushnyak,3-1,0.0,1
3348816,2021-03-19 12:15:00,Setka Cup Women,Viktoriia Anarmetova,Lilia Andreeva,Viktoriia Anarmetova,3.75,Lilia Andreeva,1-3,0.0,1
3348850,2021-03-19 17:10:00,Setka Cup,Nikolay Kornienko,Vladimir Voronenko,Nikolay Kornienko,3.75,Nikolay Kornienko,3-0,3.75,1
3348947,2021-03-19 11:40:00,TT Cup Ukraine,Vadim Komar,Andrii Selin,Vadim Komar,4.333,Andrii Selin,1-3,0.0,1
3348950,2021-03-19 14:35:00,TT Cup Ukraine,Serhii Pokidko,Oleksandr Semenets,Serhii Pokidko,3.5,Oleksandr Semenets,2-3,0.0,1
3349010,2021-03-19 13:30:00,TT Cup Ukraine,Mykola Zakladnyi,Vitaliy Solovey,Mykola Zakladnyi,2.25,Vitaliy Solovey,1-3,0.0,1
3349038,2021-03-19 10:15:00,TT Cup Ukraine,Oleg Shevchuk,Oleksandr Pinchuk,Oleg Shevchuk,3.0,Oleksandr Pinchuk,1-3,0.0,1
3349039,2021-03-19 10:50:00,TT Cup Ukraine,Maksym Skhabovskyi,Mykhailo Marchuk,Mykhailo Marchuk,5.0,Maksym Skhabovskyi,3-1,0.0,1
3349044,2021-03-19 10:10:00,TT Cup Ukraine,Oleksandr Leonenko,Andrey Troyan,Andrey Troyan,3.0,Oleksandr Leonenko,3-0,0.0,1
3349053,2021-03-19 12:00:00,TT Cup Ukraine,Mykhailo Marchuk,Andrey Matcyk,Mykhailo Marchuk,4.333,Andrey Matcyk,2-3,0.0,1
3349310,2021-03-19 09:05:00,Setka Cup,Evgeniy Khurtak,Volodymyr Butko,Volodymyr Butko,6.5,Volodymyr Butko,1-3,6.5,1
3349315,2021-03-19 12:20:00,Setka Cup,Volodymyr Okopnyi,Stanislav Nikolenko,Volodymyr Okopnyi,5.0,Stanislav Nikolenko,0-3,0.0,1
3350248,2021-03-20 01:15:00,TT Cup Ukraine,Dmytro Lohosha,Viktor Trachuk,Viktor Trachuk,4.0,Dmytro Lohosha,3-2,0.0,1
3350255,2021-03-20 02:15:00,TT Cup Ukraine,Viktor Trachuk,Pavlo Chyzh,Viktor Trachuk,5.0,Pavlo Chyzh,0-3,0.0,1
3350492,2021-03-19 21:00:00,TT Cup Ukraine,Oleksandr Shchytka,Oleg Obidnyi,Oleg Obidnyi,4.5,Oleg Obidnyi,1-3,4.5,1
3350792,2021-03-19 23:50:00,TT Cup Ukraine,Stanislav Harenko,Bogdan Zaika,Bogdan Zaika,3.25,Bogdan Zaika,0-3,3.25,1
3350793,2021-03-20 00:20:00,TT Cup Ukraine,Ilya Yanishevskiy,Ihor Kuznetsov,Ihor Kuznetsov,3.0,Ihor Kuznetsov,2-3,3.0,1
3350795,2021-03-20 01:20:00,TT Cup Ukraine,Stanislav Harenko,Ihor Kuznetsov,Stanislav Harenko,3.25,Stanislav Harenko,3-1,3.25,1
3350895,2021-03-20 06:15:00,Liga Pro,Aleksandr Savinsky,Vladimir Klimentev,Aleksandr Savinsky,3.5,Aleksandr Savinsky,3-1,3.5,1
3350937,2021-03-20 06:15:00,Liga Pro,Vitaly Bazilevsky,Dmitriy Kolesnikov,Vitaly Bazilevsky,2.5,Dmitriy Kolesnikov,1-3,0.0,1
3351023,2021-03-20 10:00:00,Liga Pro,Andrey Suslov,Vladimir Staroverov,Vladimir Staroverov,3.4,Andrey Suslov,3-1,0.0,1
3351038,2021-03-20 10:30:00,Liga Pro,Vladimir Staroverov,Alexander Ekzhanov,Vladimir Staroverov,3.0,Alexander Ekzhanov,2-3,0.0,1
3351268,2021-03-20 20:35:00,Setka Cup,Vadim Reva,Andrey Novikov,Vadim Reva,4.333,Andrey Novikov,2-3,0.0,1
3351270,2021-03-20 16:35:00,Setka Cup,Kostiantyn Kovalchuk,Vadim Reva,Vadim Reva,4.333,Kostiantyn Kovalchuk,3-1,0.0,1
3351289,2021-03-20 14:30:00,Setka Cup Women,Diana Yevtodii,Alisa Dubrova,Diana Yevtodii,3.4,Diana Yevtodii,3-2,3.4,1
3351305,2021-03-20 14:10:00,Setka Cup,Igor Koshkodan,Valeriy Kolesnykov,Valeriy Kolesnykov,3.5,Valeriy Kolesnykov,1-3,3.5,1
3351377,2021-03-20 14:45:00,Setka Cup,Anatolii Kostenko,Oleksandr Bryzhevatyi,Oleksandr Bryzhevatyi,3.4,Oleksandr Bryzhevatyi,1-3,3.4,1
3352084,2021-03-20 12:55:00,Setka Cup,Yevhen Bielokon,Oleksandr Melashenko,Yevhen Bielokon,4.333,Oleksandr Melashenko,1-3,0.0,1
3352088,2021-03-20 12:25:00,Setka Cup,Roman Kuvaiev,Andrii Peretiatko,Roman Kuvaiev,5.0,Andrii Peretiatko,0-3,0.0,1
3352092,2021-03-20 11:25:00,Setka Cup,Yevhen Bielokon,Andrii Hrytsai,Yevhen Bielokon,2.5,Andrii Hrytsai,1-3,0.0,1
3352130,2021-03-20 15:00:00,Liga Pro,Aleksandr Alekseev,Sergey Kulikov,Aleksandr Alekseev,2.75,Sergey Kulikov,2-3,0.0,1
3352182,2021-03-20 16:30:00,Liga Pro,Andrey Sadkov,Oleg Pronin,Andrey Sadkov,3.75,Oleg Pronin,0-3,0.0,1
3352196,2021-03-20 17:15:00,Liga Pro,Dmitry Fedorov,Stanislav Kaplan,Stanislav Kaplan,2.75,Dmitry Fedorov,3-0,0.0,1
3352592,2021-03-20 15:00:00,Czech Liga Pro,Tomas Holik,Milan Urban,Tomas Holik,3.25,Tomas Holik,3-2,3.25,1
3352599,2021-03-20 16:00:00,Czech Liga Pro,Milan Urban,Vojtech Waldhauser,Vojtech Waldhauser,3.0,Milan Urban,3-1,0.0,1
3353266,2021-03-20 16:15:00,TT Cup Ukraine,Maksim Butkov,Oleksandr Naida,Maksim Butkov,4.333,Oleksandr Naida,1-3,0.0,1
3353361,2021-03-20 18:50:00,Setka Cup,Ivan Fedoryshyn,Yurii Kurishchenko,Ivan Fedoryshyn,3.4,Yurii Kurishchenko,1-3,0.0,1
3353479,2021-03-20 18:30:00,TT Cup Ukraine,Nazarii Haievyi,Vitaliy Zharskiy,Vitaliy Zharskiy,2.5,Nazarii Haievyi,3-1,0.0,1
3353632,2021-03-20 22:05:00,Setka Cup,Evgeny Ivanov,Pavlo Volkov,Evgeny Ivanov,3.0,Pavlo Volkov,2-3,0.0,1
3353633,2021-03-20 22:35:00,Setka Cup,Serhii Pitsyk,Yevhenii Sokoltsov,Yevhenii Sokoltsov,3.5,Serhii Pitsyk,3-1,0.0,1
3353635,2021-03-20 23:35:00,Setka Cup,Evgeny Ivanov,Yevhenii Sokoltsov,Yevhenii Sokoltsov,2.625,Yevhenii Sokoltsov,0-3,2.625,1
3353637,2021-03-21 00:35:00,Setka Cup,Serhii Pitsyk,Mykola Polysynskyi,Mykola Polysynskyi,2.625,Mykola Polysynskyi,1-3,2.625,1
3353638,2021-03-21 01:05:00,Setka Cup,Evgeny Ivanov,Artem Lisechko,Evgeny Ivanov,2.75,Artem Lisechko,2-3,0.0,1
3353646,2021-03-21 05:05:00,Setka Cup,Artem Lisechko,Yevhenii Sokoltsov,Yevhenii Sokoltsov,3.0,Artem Lisechko,3-2,0.0,1
3353723,2021-03-20 17:00:00,TT Cup Ukraine,Vadim Komar,Serhii Kubrak,Serhii Kubrak,3.75,Vadim Komar,3-0,0.0,1
3353724,2021-03-20 17:30:00,TT Cup Ukraine,Oleksandr Yarovoi,Vitaliy Solovey,Oleksandr Yarovoi,3.0,Oleksandr Yarovoi,3-0,3.0,1
3353739,2021-03-20 18:05:00,TT Cup Ukraine,Vadim Komar,Oleksandr Yarovoi,Oleksandr Yarovoi,3.75,Vadim Komar,3-1,0.0,1
3354298,2021-03-21 12:00:00,Czech Liga Pro,Josef Medek,Jakub Boruvka,Jakub Boruvka,3.25,Jakub Boruvka,1-3,3.25,1
3354423,2021-03-21 05:15:00,Liga Pro,Anatoly Trushkin,Evgeny Kryuchkov,Evgeny Kryuchkov,1.833,Evgeny Kryuchkov,0-3,1.833,1
3354537,2021-03-21 17:45:00,Liga Pro,Petr Zyuzikov,Evgeniy Ilyukhin,Evgeniy Ilyukhin,3.0,Petr Zyuzikov,3-2,0.0,1
3354845,2021-03-21 21:20:00,Setka Cup,Andrii Melchenko,Nazar Kasianyk,Nazar Kasianyk,2.5,Andrii Melchenko,3-0,0.0,1
3354941,2021-03-21 15:40:00,Setka Cup,Pavlo Kovalchuk,Dmytro Khairov,Dmytro Khairov,3.0,Pavlo Kovalchuk,3-0,0.0,1
3354944,2021-03-21 13:50:00,Setka Cup,Mykhailo Zholubak,Vladislav Ratushnyak,Mykhailo Zholubak,4.0,Vladislav Ratushnyak,1-3,0.0,1
3354952,2021-03-21 18:20:00,Setka Cup,Mykhailo Zholubak,Ivan Omelchuk,Mykhailo Zholubak,4.333,Ivan Omelchuk,2-3,0.0,1
3354968,2021-03-21 08:00:00,Setka Cup Women,Anastasiia Dudnyk,Diana Yevtodii,Anastasiia Dudnyk,2.375,Anastasiia Dudnyk,3-0,2.375,1
3354990,2021-03-21 10:00:00,Setka Cup Women,Olha Yureneva,Diana Yevtodii,Diana Yevtodii,3.25,Olha Yureneva,3-0,0.0,1
3355004,2021-03-21 07:25:00,Setka Cup,Vadim Reva,Kostiantyn Kovalchuk,Vadim Reva,3.75,Vadim Reva,3-2,3.75,1
3355118,2021-03-21 07:15:00,Setka Cup,Stefan Yakimenko,Anatolii Kostenko,Stefan Yakimenko,3.0,Anatolii Kostenko,1-3,0.0,1
3355159,2021-03-22 00:30:00,Liga Pro,Roman Pavlenko,Tyinchtyik Turabekov,Tyinchtyik Turabekov,2.5,Roman Pavlenko,3-0,0.0,1
3355436,2021-03-21 10:40:00,TT Cup Ukraine,Anton Limonov,Alexander Tuzhylin,Alexander Tuzhylin,2.0,Alexander Tuzhylin,2-3,2.0,1
3355437,2021-03-21 11:15:00,TT Cup Ukraine,Dmytro Yaremchuk,Anton Limonov,Dmytro Yaremchuk,3.75,Anton Limonov,0-3,0.0,1
3355584,2021-03-21 10:50:00,Setka Cup,Yurii Kurishchenko,Yevhen Hasan,Yevhen Hasan,2.5,Yevhen Hasan,1-3,2.5,1
3356626,2021-03-21 20:45:00,Liga Pro,Valery Sidorin,Vasily Shirshov,Vasily Shirshov,3.75,Valery Sidorin,3-0,0.0,1
3356746,2021-03-21 17:55:00,TT Cup Ukraine,Nazarii Haievyi,Vitaliy Zharskiy,Vitaliy Zharskiy,2.5,Nazarii Haievyi,3-2,0.0,1
3356791,2021-03-21 17:20:00,TT Cup Ukraine,Andrii Zeniuk,Liubomyr Sheshurak,Andrii Zeniuk,2.625,Andrii Zeniuk,3-0,2.625,1
3356810,2021-03-21 21:45:00,Liga Pro,Vasily Shirshov,Denis Molodtsov,Vasily Shirshov,3.75,Denis Molodtsov,1-3,0.0,1
