,Time,League,Player_1,Player_2,Bet,Price,Winner,Scoreline,Returns,Unit_Stake
3547923,2021-05-21 14:15:00,TT Cup Ukraine,Oleh Stasevskyi,Serhii Kubrak,Oleh Stasevskyi,3.4,Serhii Kubrak,2-3,0.0,1
3548659,2021-05-21 17:45:00,Liga Pro,Dmitry Petrochenko,Ivan Moshkov,Dmitry Petrochenko,5.0,Ivan Moshkov,1-3,0.0,1
3548727,2021-05-22 00:45:00,Liga Pro,Nikolay Zhurba,Nikita Lyfenko,Nikolay Zhurba,3.25,Nikolay Zhurba,3-1,3.25,1
3549041,2021-05-22 00:45:00,Liga Pro,Vasily Shirshov,Anatoly Ilin,Vasily Shirshov,6.5,Anatoly Ilin,1-3,0.0,1
3549090,2021-05-21 22:55:00,Setka Cup,Serhii Pitsyk,Yevhenii Sokoltsov,Yevhenii Sokoltsov,3.5,Serhii Pitsyk,3-0,0.0,1
3549147,2021-05-21 22:15:00,TT Cup Ukraine,Viktor Bosak,Volodymyr Tuchkevych,Viktor Bosak,3.25,Volodymyr Tuchkevych,1-3,0.0,1
3549149,2021-05-21 23:15:00,TT Cup Ukraine,Volodymyr Tuchkevych,Igor Demchuk,Igor Demchuk,4.333,Igor Demchuk,2-3,4.333,1
3549268,2021-05-21 19:25:00,TT Cup Ukraine,Mykola Zakladnyi,Yaroslav Ivanytsia,Yaroslav Ivanytsia,4.333,Mykola Zakladnyi,3-2,0.0,1
3549288,2021-05-21 20:05:00,TT Cup Ukraine,Bogdan Zaika,Yaroslav Ivanytsia,Bogdan Zaika,4.333,Yaroslav Ivanytsia,1-3,0.0,1
3549289,2021-05-21 20:35:00,TT Cup Ukraine,Mykola Zakladnyi,Bogdan Zaika,Bogdan Zaika,4.333,Mykola Zakladnyi,3-1,0.0,1
3549629,2021-05-22 00:20:00,TT Cup Ukraine,Kyrylo Yehorov,Ivan Fashchevskyi,Ivan Fashchevskyi,4.333,Kyrylo Yehorov,3-1,0.0,1
3549632,2021-05-22 01:50:00,TT Cup Ukraine,Dmitriy Derevinskiy,Ivan Fashchevskyi,Ivan Fashchevskyi,4.5,Dmitriy Derevinskiy,3-0,0.0,1
3550175,2021-05-22 12:05:00,Setka Cup,Taras Bonishchuk,Vitalii Sydorenko,Vitalii Sydorenko,4.0,Taras Bonishchuk,3-2,0.0,1
3550279,2021-05-22 18:00:00,Czech Liga Pro,Jiri Veselka,Jan Knot,Jan Knot,3.75,Jan Knot,0-3,3.75,1
3550542,2021-05-22 13:05:00,Setka Cup,Yurii Kurishchenko,Ruslan Solomko,Ruslan Solomko,3.75,Yurii Kurishchenko,3-0,0.0,1
3551153,2021-05-22 17:15:00,Liga Pro,Ivan Moshkov,Nikita Lyfenko,Nikita Lyfenko,3.5,Ivan Moshkov,3-2,0.0,1
3551716,2021-05-22 11:15:00,TT Cup Ukraine,Serhii Baranovskyi,Oleksandr Levadniy,Serhii Baranovskyi,3.25,Oleksandr Levadniy,1-3,0.0,1
3551717,2021-05-22 10:45:00,TT Cup Ukraine,Alexey Lukianov,Borys Buriak,Alexey Lukianov,4.333,Borys Buriak,2-3,0.0,1
3552868,2021-05-22 21:45:00,TT Cup Ukraine,Maxim Naumchuk,Alexander Michalus,Maxim Naumchuk,3.75,Alexander Michalus,2-3,0.0,1
3552934,2021-05-22 20:00:00,TT Cup Ukraine,Ivan Fashchevskyi,Dmitriy Derevinskiy,Ivan Fashchevskyi,3.75,Dmitriy Derevinskiy,1-3,0.0,1
3552937,2021-05-22 20:30:00,TT Cup Ukraine,Kyrylo Yehorov,Ivan Fashchevskyi,Ivan Fashchevskyi,3.75,Ivan Fashchevskyi,0-3,3.75,1
3553466,2021-05-23 13:00:00,Liga Pro,Andrey Zabrodin,Kim Sen,Kim Sen,4.333,Andrey Zabrodin,3-1,0.0,1
3553524,2021-05-23 16:50:00,Setka Cup,Oleksandr Borysiuk,Yurii Kolos,Oleksandr Borysiuk,3.0,Oleksandr Borysiuk,3-1,3.0,1
3553668,2021-05-23 07:20:00,TT Cup Ukraine,Vitaliy Lyevshin,Bohdan Kohut,Bohdan Kohut,3.75,Vitaliy Lyevshin,3-2,0.0,1
3553674,2021-05-23 10:00:00,Setka Cup,Ivan Panchenko,Dmytro Kunchurov,Ivan Panchenko,3.25,Ivan Panchenko,3-2,3.25,1
3553765,2021-05-23 05:40:00,TT Cup Ukraine Women,Tatiana Bairak,Lilia Melnikova,Lilia Melnikova,3.75,Lilia Melnikova,0-3,3.75,1
3553766,2021-05-23 06:50:00,TT Cup Ukraine Women,Olga Melnik,Lilia Melnikova,Lilia Melnikova,3.25,Olga Melnik,3-2,0.0,1
3553854,2021-05-23 06:55:00,TT Cup Ukraine,Viktor Kotov,Andrii Khvysiuk,Viktor Kotov,3.5,Viktor Kotov,3-1,3.5,1
3553975,2021-05-22 20:15:00,Liga Pro,Ivan Moshkov,Nikita Lyfenko,Nikita Lyfenko,3.75,Ivan Moshkov,3-0,0.0,1
3554218,2021-05-23 09:25:00,Setka Cup,Sergey Tkachev,Serhii Chelpanov,Serhii Chelpanov,3.0,Sergey Tkachev,3-2,0.0,1
3554369,2021-05-23 09:35:00,TT Cup Ukraine,Borys Buriak,Alexey Lukianov,Alexey Lukianov,4.333,Borys Buriak,3-1,0.0,1
3554732,2021-05-23 10:15:00,TT Cup Ukraine,Vitaliy Lyevshin,Bohdan Kohut,Bohdan Kohut,4.333,Vitaliy Lyevshin,3-0,0.0,1
3554904,2021-05-23 15:55:00,Setka Cup,Yevhenii Sokoltsov,Mykola Polysynskyi,Yevhenii Sokoltsov,4.333,Mykola Polysynskyi,0-3,0.0,1
3555283,2021-05-23 21:45:00,TT Cup Ukraine,Igor Vatsyn,Viktor Bosak,Igor Vatsyn,4.333,Viktor Bosak,1-3,0.0,1
3555402,2021-05-23 22:25:00,Setka Cup,Oleksandr Melashenko,Evgeny Ivanov,Oleksandr Melashenko,3.25,Evgeny Ivanov,0-3,0.0,1
3555405,2021-05-23 23:55:00,Setka Cup,Roman Yushko,Oleksandr Melashenko,Oleksandr Melashenko,3.75,Roman Yushko,3-2,0.0,1
3555415,2021-05-24 01:55:00,Setka Cup,Artem Lisechko,Oleksandr Melashenko,Oleksandr Melashenko,3.0,Artem Lisechko,3-0,0.0,1
3555418,2021-05-24 03:25:00,Setka Cup,Artem Lisechko,Roman Yushko,Roman Yushko,3.0,Artem Lisechko,3-2,0.0,1
3555503,2021-05-23 22:00:00,Liga Pro,Sergey Martyukhin,Viktor Kalachev,Sergey Martyukhin,3.0,Viktor Kalachev,2-3,0.0,1
